movieId,title,genres,year,cast_name,cast_order
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,TomHanks,1
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,TimAllen,2
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,DonRickles,3
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,JimVarney,4
2,Jumanji (1995),Adventure|Children|Fantasy,1995,RobinWilliams,1
2,Jumanji (1995),Adventure|Children|Fantasy,1995,JonathanHyde,2
2,Jumanji (1995),Adventure|Children|Fantasy,1995,KirstenDunst,3
2,Jumanji (1995),Adventure|Children|Fantasy,1995,BradleyPierce,4
3,Grumpier Old Men (1995),Comedy|Romance,1995,WalterMatthau,1
3,Grumpier Old Men (1995),Comedy|Romance,1995,JackLemmon,2
3,Grumpier Old Men (1995),Comedy|Romance,1995,Ann-Margret,3
3,Grumpier Old Men (1995),Comedy|Romance,1995,SophiaLoren,4
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,WhitneyHouston,1
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,AngelaBassett,2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,LorettaDevine,3
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,LelaRochon,4
5,Father of the Bride Part II (1995),Comedy,1995,SteveMartin,1
5,Father of the Bride Part II (1995),Comedy,1995,DianeKeaton,2
5,Father of the Bride Part II (1995),Comedy,1995,MartinShort,3
5,Father of the Bride Part II (1995),Comedy,1995,KimberlyWilliams-Paisley,4
6,Heat (1995),Action|Crime|Thriller,1995,AlPacino,1
6,Heat (1995),Action|Crime|Thriller,1995,RobertDeNiro,2
6,Heat (1995),Action|Crime|Thriller,1995,ValKilmer,3
6,Heat (1995),Action|Crime|Thriller,1995,JonVoight,4
7,Sabrina (1995),Comedy|Romance,1995,HarrisonFord,1
7,Sabrina (1995),Comedy|Romance,1995,JuliaOrmond,2
7,Sabrina (1995),Comedy|Romance,1995,GregKinnear,3
7,Sabrina (1995),Comedy|Romance,1995,AngieDickinson,4
8,Tom and Huck (1995),Adventure|Children,1995,JonathanTaylorThomas,1
8,Tom and Huck (1995),Adventure|Children,1995,BradRenfro,2
8,Tom and Huck (1995),Adventure|Children,1995,RachaelLeighCook,3
8,Tom and Huck (1995),Adventure|Children,1995,MichaelMcShane,4
9,Sudden Death (1995),Action,1995,Jean-ClaudeVanDamme,1
9,Sudden Death (1995),Action,1995,PowersBoothe,2
9,Sudden Death (1995),Action,1995,DorianHarewood,3
9,Sudden Death (1995),Action,1995,RaymondJ.Barry,4
10,GoldenEye (1995),Action|Adventure|Thriller,1995,PierceBrosnan,1
10,GoldenEye (1995),Action|Adventure|Thriller,1995,SeanBean,2
10,GoldenEye (1995),Action|Adventure|Thriller,1995,IzabellaScorupco,3
10,GoldenEye (1995),Action|Adventure|Thriller,1995,FamkeJanssen,4
11,"American President, The (1995)",Comedy|Drama|Romance,1995,MichaelDouglas,1
11,"American President, The (1995)",Comedy|Drama|Romance,1995,AnnetteBening,2
11,"American President, The (1995)",Comedy|Drama|Romance,1995,MichaelJ.Fox,3
11,"American President, The (1995)",Comedy|Drama|Romance,1995,MartinSheen,4
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,LeslieNielsen,1
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,MelBrooks,2
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,AmyYasbeck,3
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,PeterMacNicol,4
13,Balto (1995),Adventure|Animation|Children,1995,KevinBacon,1
13,Balto (1995),Adventure|Animation|Children,1995,BobHoskins,2
13,Balto (1995),Adventure|Animation|Children,1995,BridgetFonda,3
13,Balto (1995),Adventure|Animation|Children,1995,JimCummings,4
14,Nixon (1995),Drama,1995,AnthonyHopkins,1
14,Nixon (1995),Drama,1995,JoanAllen,2
14,Nixon (1995),Drama,1995,PowersBoothe,3
14,Nixon (1995),Drama,1995,EdHarris,4
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,GeenaDavis,1
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,MatthewModine,2
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,FrankLangella,3
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,MauryChaykin,4
16,Casino (1995),Crime|Drama,1995,RobertDeNiro,1
16,Casino (1995),Crime|Drama,1995,SharonStone,2
16,Casino (1995),Crime|Drama,1995,JoePesci,3
16,Casino (1995),Crime|Drama,1995,JamesWoods,4
17,Sense and Sensibility (1995),Drama|Romance,1995,KateWinslet,1
17,Sense and Sensibility (1995),Drama|Romance,1995,EmmaThompson,2
17,Sense and Sensibility (1995),Drama|Romance,1995,HughGrant,3
17,Sense and Sensibility (1995),Drama|Romance,1995,TomWilkinson,4
18,Four Rooms (1995),Comedy,1995,TimRoth,1
18,Four Rooms (1995),Comedy,1995,AntonioBanderas,2
18,Four Rooms (1995),Comedy,1995,JenniferBeals,3
18,Four Rooms (1995),Comedy,1995,Madonna,4
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,JimCarrey,1
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,IanMcNeice,2
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,SimonCallow,3
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,MaynardEziashi,4
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,WesleySnipes,1
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,WoodyHarrelson,2
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,JenniferLopez,3
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,RobertBlake,4
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,JohnTravolta,1
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,GeneHackman,2
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,ReneRusso,3
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,DannyDeVito,4
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,SigourneyWeaver,1
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,HollyHunter,2
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,WillPatton,3
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,WilliamMcNamara,4
23,Assassins (1995),Action|Crime|Thriller,1995,SylvesterStallone,1
23,Assassins (1995),Action|Crime|Thriller,1995,AntonioBanderas,2
23,Assassins (1995),Action|Crime|Thriller,1995,JulianneMoore,3
23,Assassins (1995),Action|Crime|Thriller,1995,AnatoliDavydov,4
24,Powder (1995),Drama|Sci-Fi,1995,MarySteenburgen,1
24,Powder (1995),Drama|Sci-Fi,1995,SeanPatrickFlanery,2
24,Powder (1995),Drama|Sci-Fi,1995,LanceHenriksen,3
24,Powder (1995),Drama|Sci-Fi,1995,JeffGoldblum,4
25,Leaving Las Vegas (1995),Drama|Romance,1995,NicolasCage,1
25,Leaving Las Vegas (1995),Drama|Romance,1995,ElisabethShue,2
